Team 1,Team 2,Score,Map,T1 Atk,T1 Def,T2 Atk,T2 Def,Event,Match,Date,Pick,T1 Ban 1,T1 Ban 2,T1 Ban 3,T1 Ban 4,T2 Ban 1,T2 Ban 2,T2 Ban 3,T2 Ban 4,Veto Start,VOD,T1 RT Start,T1 OT Start,T1 ATK RT,T1 DEF RT,T1 ATK OT,T1 DEF OT,T2 ATK RT,T2 DEF RT,T2 ATK OT,T2 DEF OT
Team BDS,Virtus.pro,0 : 0,Border,,,,,EWC Europe OQ,Upper Bracket Quarterfinals,2024-06-22 16:00:00,Dec.,,,,,,,,,T1,,,,,,,,,,,
Team BDS,Dunlimited,1 : 0,Consulate,,,,,EWC Europe OQ,Upper Bracket Round 1,2024-06-21 16:00:00,T1,Oregon,Kafe Dostoyevsky,Bank,,Border,Nighthaven Labs,Skyscraper,,T1,,,,,,,,,,,
Team BDS,Dunlimited,1 : 0,Chalet,,,,,EWC Europe OQ,Upper Bracket Round 1,2024-06-21 16:00:00,T2,,,,,,,,,T1,,,,,,,,,,,
Team BDS,Dunlimited,0 : 0,Clubhouse,,,,,EWC Europe OQ,Upper Bracket Round 1,2024-06-21 16:00:00,Dec.,,,,,,,,,T1,,,,,,,,,,,
Team BDS,beastcoast,4 : 7,Skyscraper,Montagne,Azami,Dokkaebi,Fenrir,BLAST R6 Major Manchester 2024,Grand Final,2024-05-26 16:30:00,T2,Nighthaven Labs,Oregon,,,Clubhouse,Bank,,,T2,https://www.youtube.com/watch?v=tZ6KQrT9Cak,def,,1,3,,,3,4,,
Team BDS,beastcoast,7 : 3,Consulate,Montagne,Azami,Dokkaebi,Fenrir,BLAST R6 Major Manchester 2024,Grand Final,2024-05-26 16:30:00,T1,,,,,,,,,T2,https://www.youtube.com/watch?v=tZ6KQrT9Cak,atk,,4,3,,,1,2,,
Team BDS,beastcoast,7 : 5,Chalet,Montagne,Azami,Ying,Fenrir,BLAST R6 Major Manchester 2024,Grand Final,2024-05-26 16:30:00,T2,,,,,,,,,T2,https://www.youtube.com/watch?v=tZ6KQrT9Cak,atk,,2,5,,,1,4,,
Team BDS,beastcoast,5 : 7,Kafe Dostoyevsky,Montagne,Azami,Ying,Fenrir,BLAST R6 Major Manchester 2024,Grand Final,2024-05-26 16:30:00,T1,,,,,,,,,T2,https://www.youtube.com/watch?v=tZ6KQrT9Cak,atk,,3,2,,,4,3,,
Team BDS,beastcoast,5 : 7,Border,Montagne,Azami,Glaz,Fenrir,BLAST R6 Major Manchester 2024,Grand Final,2024-05-26 16:30:00,Dec.,,,,,,,,,T2,https://www.youtube.com/watch?v=tZ6KQrT9Cak,def,,3,2,,,4,3,,
Team BDS,DarkZero,7 : 4,Border,Montagne,Valkyrie,Dokkaebi,Azami,BLAST R6 Major Manchester 2024,Semifinals,2024-05-25 18:15:00,T2,Nighthaven Labs,Chalet,Kafe Dostoyevsky,,Skyscraper,Clubhouse,Bank,,T2,https://www.youtube.com/watch?v=meynKBXPZ3o,def,,4,3,,,3,1,,
Team BDS,DarkZero,7 : 4,Oregon,Montagne,Mira,Glaz,Azami,BLAST R6 Major Manchester 2024,Semifinals,2024-05-25 18:15:00,T1,,,,,,,,,T2,https://www.youtube.com/watch?v=meynKBXPZ3o,atk,,3,4,,,1,3,,
